Threshold equalization distributions
Type: THL with noise edge
From: 291
To: 519
Step: 3
Chip 0
Adj. bits 0	Adj. bits 15	Adj. equalized
         2	         2	         2
         0	         1	         0
         0	         0	         0
         0	         0	         0
         0	        30	         0
         0	         0	         0
         0	         1	         0
         0	         1	         0
         0	         1	         0
         0	         1	         0
         0	         2	         0
         0	        10	         0
         0	        11	         0
         0	        43	         0
         0	        61	         0
         0	       244	         0
         0	       333	         0
         0	       992	         0
         0	      1394	         0
         0	      2638	         0
         0	      3053	         0
         0	      5712	         0
         0	      5777	         0
         0	      9719	         0
         0	      7376	         0
         0	      9200	         3
         3	      5479	        27
         2	      5413	         0
        25	      3353	         1
         1	      2406	         1
         0	      1168	        31
         0	       640	        95
         2	       266	      1092
         0	       147	      2354
         1	        37	     10956
         3	        18	     17250
         7	         3	     17479
        23	         0	      9970
        50	         0	      5219
       161	         0	       848
       217	         0	       179
       539	         0	        20
       822	         0	         3
      1882	         0	         1
      2510	         0	         1
      4512	         0	         0
      4678	         0	         0
      7189	         0	         0
      7598	         0	         0
      5517	         0	         0
      7066	         0	         0
      8766	         0	         0
      4839	         0	         0
      4061	         0	         0
      1808	         0	         0
      1476	         0	         0
       902	         0	         0
       468	         0	         0
       212	         0	         0
       132	         0	         0
        37	         0	         0
        16	         0	         0
         5	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
